BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
FOR,0.06937799043062201,197916.41180224976,107.6877990430622,341925.9889649531,15.406222614023003,23250.091607309092,35771.682683281004,14.650717703349283,0.3211722488038278,0.1728468899521531,29386.432416267944,5740.754784688996,348911.44825671415,289138.066057856,12362.322368421053,11230.071172248803,241781.34629186604,55880.14354066986
GA,0.09857299670691548,168691.86370312245,135.6664471276985,435690.0271169119,21.57004567046952,51353.113361739415,119363.34545132161,13.245883644346872,2.691255031101354,3.1671423344310283,30982.131430662277,1800.5296011708745,436689.0002228438,349467.78605998465,13343.139846322721,11846.007757043542,187425.08620563484,52987.504061470914
HI,0.10409670920080591,67906.7695683341,73.00033579583614,212535.74149601106,28.12792858623745,22370.85812493088,78913.12120746651,13.278038952316992,1.600402955003358,4.291806581598388,35683.73069173942,4043.0416386836805,201152.50056931822,158472.3585935213,13384.384486232371,11976.665211551377,519541.30792478175,67570.99462726663
IA,0.10700844268131421,111803.72014692024,109.31675312786085,249760.37140508587,17.601041590454802,24606.51537861021,83186.83755743108,12.07801851286746,1.3950767978842438,2.4756382870511646,14511.57379717221,653.8820058997051,245192.5106128129,204020.70527069084,6368.342081171803,5893.4935408402,127252.44654663818,52408.58844471569
ID,0.1004907688712316,84532.38455680669,136.4187894367843,284962.5541277923,18.48077577350984,27581.531404335878,70668.42035622905,14.356157980836644,3.058191166160318,5.3458752044870295,25016.33489132975,986.7506426735218,274109.375796698,236370.61068483486,10531.38653891096,9558.82823089507,188976.09231128768,48368.981070343536
IL,0.22715436693931318,63637.30194802718,84.74553503048126,208194.6548026079,36.82238892054585,26091.21699876759,70391.10909048471,9.6491131329841,1.8464448733265937,3.9729651073737093,33020.737279049106,7794.579833348651,181671.2715234401,135679.70695524607,13870.801259075453,12654.24957877646,257645.3443157798,61962.98717948718
IN,0.09676994067237969,131324.18008880844,115.32076466710613,302097.8297170392,22.59512992860293,29064.84489879128,67160.08952268076,13.770204350692156,3.602636783124588,5.98694792353329,24906.53144363876,1254.723533289387,292037.2141027582,245815.2989607077,10902.356493078445,9855.732234673698,135315.66249176004,51420.51483190508
KS,0.10067796610169491,123573.81525133533,104.98531073446328,255878.99025360376,19.331768226749936,23340.71150628925,75354.17564560978,11.053446327683616,1.1822598870056498,1.926553672316384,18101.64305084746,1156.518757062147,253411.0460551137,206638.181550414,7834.751751412429,7175.463389830508,132205.16384180792,51360.84384180791
KY,0.14476102941176472,122462.3254024683,108.12683823529412,273389.3931641463,22.23742972238288,31845.740729391637,57303.24782618177,12.012867647058824,2.2247242647058822,3.1509650735294117,22806.709099264706,1213.905330882353,270729.0049677542,221008.41932522666,10215.27849264706,9260.87637867647,138196.04779411765,45803.324678308825
LA,0.10958358238692967,155429.6572369802,114.64056584977087,323089.5533112735,16.656463067401212,33855.11485589992,78803.8661567762,12.223948993823472,2.1809125323769676,3.462442717672843,23935.067543335324,1683.7409842598126,322173.3604808469,263646.40108597855,10495.517433751744,9392.640964335525,156757.40187288306,48223.646543136085
