BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
IA,1052.0,117505709.87441318,1074693.0,2455394211.283399,173035.83987576116,241906652.68711695,127026300.95019726,118739.0,13715.0,24338.0,142663282.0,6428314.0,2410487571.8345637,2005727553.5161617,62607171.0,57938935.0,1251018802.0,515228833.0
ID,430.0,36348925.35942688,583736.0,1219354769.1128232,79079.2395348486,118021372.87915322,107698672.62289307,61430.0,13086.0,22875.0,107044897.0,4222306.0,1172914019.0340707,1011429843.1204084,45063803.0,40902226.0,808628699.0,206970870.0
IL,14830.0,942150255.3405424,5532697.0,13592196233.44306,2403986.4830667563,1703391192.981541,1627442442.1720066,629952.0,120547.0,259379.0,2155791854.0,508876939.0,11860590632.679312,8857985348.280195,905569131.0,826145338.0,16820633949.0,4045315581.0
IN,734.0,96260624.00509658,874708.0,2291412038.4037423,171384.06050845323,220456848.55733186,195100060.06338763,104447.0,27326.0,45411.0,188916041.0,9517078.0,2215102268.969421,1864509042.616968,82694374.0,74755729.0,1026369300.0,390024605.0
KS,891.0,109733547.94318578,929120.0,2264529063.7443933,171086.14880673695,206565296.83065987,107907179.5245132,97823.0,10463.0,17050.0,160199541.0,10235191.0,2242687757.587756,1828747906.721164,69337553.0,63502851.0,1170015700.0,454543468.0
KY,630.0,77151265.00355503,470568.0,1189790639.0503647,96777.2941518103,138592663.6543124,54151569.19574177,52280.0,9682.0,13713.0,99254798.0,5282916.0,1178212629.619666,961828640.9033864,44456892.0,40303334.0,601429200.0,199336069.0
LA,550.0,85486311.48033911,575381.0,1621586468.0692818,83598.78813528668,169918821.4617617,96692343.7743644,61352.0,10946.0,17378.0,120130104.0,8450696.0,1616988096.2533705,1323241287.0505264,52677002.0,47141665.0,786765400.0,242034482.0
MA,967.0,75206095.49220061,1373977.0,3260211665.4296355,401709.9437349407,309459984.4850411,308765278.1565324,184691.0,26776.0,59111.0,302878280.0,52244704.0,3130298982.2135687,2537109400.050985,129886774.0,119949701.0,4693055724.0,987676901.0
MD,577.0,68359367.40536188,665400.0,1986234342.8379757,164868.09458722337,187526902.02721643,110715659.73653676,111841.0,13606.0,23032.0,209746752.0,22041176.0,1930460055.2560766,1548809321.2218137,88026874.0,80902875.0,2226401005.0,550101274.0
ME,273.0,28168201.636977404,415813.0,873478395.0575925,97287.79356122193,84250953.39805667,40601990.13561523,39060.0,4853.0,11702.0,45396308.0,2440913.0,852355323.3082244,677234915.1581234,22382939.0,19384266.0,725045601.0,181607750.0
MI,645.0,85563191.58867197,942847.0,2752147897.884908,169602.5989755066,261261412.9588825,197733861.57382253,101984.0,18704.0,35459.0,169001845.0,9999834.0,2687680056.560996,2170031385.2683377,74950146.0,66810350.0,1009466100.0,375602652.0
MN,1544.0,186047628.52405852,2318966.0,6320311208.381929,414009.0979653119,634390036.945613,573193240.4498595,259674.0,47615.0,121444.0,388428355.0,33111539.0,6094857509.321696,5002921814.667738,166785632.0,153880173.0,3840649602.0,1195541013.0
MO,1875.0,243981702.8178653,1691794.0,4237304298.495729,311426.5697003777,417123126.96176094,260681471.08045232,191252.0,33923.0,51211.0,352471624.0,25278446.0,4157554717.892582,3440330605.6654153,155370009.0,139636814.0,2523882055.0,759990123.0
MS,613.0,62639782.6809864,603810.0,1536427050.771778,129728.9505383838,258747613.20459113,76726095.63494667,48856.0,7055.0,13180.0,116705662.0,3554321.0,1532282546.872469,1220919148.930751,50222457.0,44509358.0,683537101.0,252295481.0
MT,447.0,40002195.79810036,855861.0,1979976143.9923658,170810.3087194561,195897030.0804115,90481870.11474103,76458.0,6332.0,15987.0,166131632.0,4400774.0,1916499866.01954,1503206119.3579013,76930278.0,70510846.0,1548348799.0,368116283.0
